Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.2
Sample Interval,0.0016
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0.0615
Vertical Scale,0.02
Label,
TIME,CH1
-1.822e+00,0.1007
-1.821e+00,0.0887
-1.819e+00,0.0743
-1.818e+00,0.0727
-1.816e+00,0.0831
-1.814e+00,0.1047
-1.813e+00,0.1311
-1.811e+00,0.1231
-1.810e+00,0.0847
-1.808e+00,0.0703
-1.806e+00,0.0791
-1.805e+00,0.1271
-1.803e+00,0.1479
-1.802e+00,0.1111
-1.800e+00,0.0639
-1.798e+00,0.0503
-1.797e+00,0.0671
-1.795e+00,0.1047
-1.794e+00,0.1207
-1.792e+00,0.1007
-1.790e+00,0.0695
-1.789e+00,0.0607
-1.787e+00,0.0767
-1.786e+00,0.1007
-1.784e+00,0.1199
-1.782e+00,0.0943
-1.781e+00,0.0631
-1.779e+00,0.0503
-1.778e+00,0.0559
-1.776e+00,0.0767
-1.774e+00,0.0895
-1.773e+00,0.0879
-1.771e+00,0.0895
-1.770e+00,0.0687
-1.768e+00,0.0543
-1.766e+00,0.0519
-1.765e+00,0.0743
-1.763e+00,0.1127
-1.762e+00,0.1047
-1.760e+00,0.0575
-1.758e+00,0.0471
-1.757e+00,0.0479
-1.755e+00,0.0855
-1.754e+00,0.1023
-1.752e+00,0.0639
-1.750e+00,0.0503
-1.749e+00,0.0479
-1.747e+00,0.0615
-1.746e+00,0.0695
-1.744e+00,0.0663
-1.742e+00,0.0599
-1.741e+00,0.0599
-1.739e+00,0.0527
-1.738e+00,0.0463
-1.736e+00,0.0471
-1.734e+00,0.0663
-1.733e+00,0.0783
-1.731e+00,0.0647
-1.730e+00,0.0543
-1.728e+00,0.0575
-1.726e+00,0.0511
-1.725e+00,0.0839
-1.723e+00,0.0911
-1.722e+00,0.0599
-1.720e+00,0.0495
-1.718e+00,0.0471
-1.717e+00,0.0479
-1.715e+00,0.0583
-1.714e+00,0.0623
-1.712e+00,0.0535
-1.710e+00,0.0487
-1.709e+00,0.0495
-1.707e+00,0.0471
-1.706e+00,0.0551
-1.704e+00,0.0735
-1.702e+00,0.0671
-1.701e+00,0.0543
-1.699e+00,0.0463
-1.698e+00,0.0487
-1.696e+00,0.0575
-1.694e+00,0.0735
-1.693e+00,0.0679
-1.691e+00,0.0591
-1.690e+00,0.0495
-1.688e+00,0.0479
-1.686e+00,0.0479
-1.685e+00,0.0663
-1.683e+00,0.0855
-1.682e+00,0.0719
-1.680e+00,0.0503
-1.678e+00,0.0487
-1.677e+00,0.0471
-1.675e+00,0.0679
-1.674e+00,0.0871
-1.672e+00,0.0663
-1.670e+00,0.0503
-1.669e+00,0.0479
-1.667e+00,0.0479
-1.666e+00,0.0503
-1.664e+00,0.0607
-1.662e+00,0.0567
-1.661e+00,0.0535
-1.659e+00,0.0463
-1.658e+00,0.0455
-1.656e+00,0.0511
-1.654e+00,0.0775
-1.653e+00,0.0847
-1.651e+00,0.0607
-1.650e+00,0.0535
-1.648e+00,0.0511
-1.646e+00,0.0511
-1.645e+00,0.0751
-1.643e+00,0.0711
-1.642e+00,0.0511
-1.640e+00,0.0495
-1.638e+00,0.0479
-1.637e+00,0.0471
-1.635e+00,0.0607
-1.634e+00,0.0735
-1.632e+00,0.0647
-1.630e+00,0.0527
-1.629e+00,0.0495
-1.627e+00,0.0479
-1.626e+00,0.0495
-1.624e+00,0.0631
-1.622e+00,0.0575
-1.621e+00,0.0487
-1.619e+00,0.0471
-1.618e+00,0.0455
-1.616e+00,0.0519
-1.614e+00,0.0671
-1.613e+00,0.0687
-1.611e+00,0.0591
-1.610e+00,0.0503
-1.608e+00,0.0487
-1.606e+00,0.0503
-1.605e+00,0.0687
-1.603e+00,0.0767
-1.602e+00,0.0639
-1.600e+00,0.0487
-1.598e+00,0.0479
-1.597e+00,0.0463
-1.595e+00,0.0623
-1.594e+00,0.0831
-1.592e+00,0.0703
-1.590e+00,0.0519
-1.589e+00,0.0479
-1.587e+00,0.0519
-1.586e+00,0.0695
-1.584e+00,0.0951
-1.582e+00,0.0839
-1.581e+00,0.0655
-1.579e+00,0.0495
-1.578e+00,0.0479
-1.576e+00,0.0567
-1.574e+00,0.0799
-1.573e+00,0.0863
-1.571e+00,0.0695
-1.570e+00,0.0511
-1.568e+00,0.0527
-1.566e+00,0.0711
-1.565e+00,0.1135
-1.563e+00,0.1135
-1.562e+00,0.0743
-1.560e+00,0.0511
-1.558e+00,0.0463
-1.557e+00,0.0663
-1.555e+00,0.1015
-1.554e+00,0.1119
-1.552e+00,0.0903
-1.550e+00,0.0607
-1.549e+00,0.0511
-1.547e+00,0.0559
-1.546e+00,0.0679
-1.544e+00,0.0863
-1.542e+00,0.0743
-1.541e+00,0.0647
-1.539e+00,0.0567
-1.538e+00,0.0599
-1.536e+00,0.0639
-1.534e+00,0.0711
-1.533e+00,0.0871
-1.531e+00,0.0919
-1.530e+00,0.0711
-1.528e+00,0.0551
-1.526e+00,0.0503
-1.525e+00,0.0807
-1.523e+00,0.1159
-1.522e+00,0.0919
-1.520e+00,0.0535
-1.518e+00,0.0551
-1.517e+00,0.0503
-1.515e+00,0.0951
-1.514e+00,0.1247
-1.512e+00,0.0775
-1.510e+00,0.0535
-1.509e+00,0.0487
-1.507e+00,0.0711
-1.506e+00,0.1127
-1.504e+00,0.1007
-1.502e+00,0.0631
-1.501e+00,0.0543
-1.499e+00,0.0511
-1.498e+00,0.0591
-1.496e+00,0.0591
-1.494e+00,0.0567
-1.493e+00,0.0671
-1.491e+00,0.0711
-1.490e+00,0.0591
-1.488e+00,0.0495
-1.486e+00,0.0471
-1.485e+00,0.0615
-1.483e+00,0.0943
-1.482e+00,0.0975
-1.480e+00,0.0615
-1.478e+00,0.0487
-1.477e+00,0.0519
-1.475e+00,0.0911
-1.474e+00,0.1295
-1.472e+00,0.0927
-1.470e+00,0.0551
-1.469e+00,0.0487
-1.467e+00,0.0599
-1.466e+00,0.1031
-1.464e+00,0.1079
-1.462e+00,0.0647
-1.461e+00,0.0567
-1.459e+00,0.0615
-1.458e+00,0.0815
-1.456e+00,0.0799
-1.454e+00,0.0735
-1.453e+00,0.0839
-1.451e+00,0.0911
-1.450e+00,0.0687
-1.448e+00,0.0519
-1.446e+00,0.0487
-1.445e+00,0.0767
-1.443e+00,0.1175
-1.442e+00,0.0967
-1.440e+00,0.0575
-1.438e+00,0.0487
-1.437e+00,0.0535
-1.435e+00,0.0991
-1.434e+00,0.1199
-1.432e+00,0.0871
-1.430e+00,0.0535
-1.429e+00,0.0487
-1.427e+00,0.0559
-1.426e+00,0.0871
-1.424e+00,0.0935
-1.422e+00,0.0631
-1.421e+00,0.0495
-1.419e+00,0.0463
-1.418e+00,0.0543
-1.416e+00,0.0623
-1.414e+00,0.0663
-1.413e+00,0.0671
-1.411e+00,0.0655
-1.410e+00,0.0559
-1.408e+00,0.0511
-1.406e+00,0.0479
-1.405e+00,0.0623
-1.403e+00,0.0767
-1.402e+00,0.0687
-1.400e+00,0.0503
-1.398e+00,0.0527
-1.397e+00,0.0495
-1.395e+00,0.0807
-1.394e+00,0.1031
-1.392e+00,0.0679
-1.390e+00,0.0519
-1.389e+00,0.0495
-1.387e+00,0.0551
-1.386e+00,0.0703
-1.384e+00,0.0687
-1.382e+00,0.0543
-1.381e+00,0.0503
-1.379e+00,0.0479
-1.378e+00,0.0495
-1.376e+00,0.0487
-1.374e+00,0.0583
-1.373e+00,0.0727
-1.371e+00,0.0743
-1.370e+00,0.0527
-1.368e+00,0.0503
-1.366e+00,0.0479
-1.365e+00,0.0743
-1.363e+00,0.0991
-1.362e+00,0.0711
-1.360e+00,0.0535
-1.358e+00,0.0551
-1.357e+00,0.0519
-1.355e+00,0.0943
-1.354e+00,0.1031
-1.352e+00,0.0631
-1.350e+00,0.0495
-1.349e+00,0.0487
-1.347e+00,0.0687
-1.346e+00,0.0831
-1.344e+00,0.0719
-1.342e+00,0.0559
-1.341e+00,0.0519
-1.339e+00,0.0503
-1.338e+00,0.0487
-1.336e+00,0.0487
-1.334e+00,0.0583
-1.333e+00,0.0791
-1.331e+00,0.0815
-1.330e+00,0.0559
-1.328e+00,0.0479
-1.326e+00,0.0511
-1.325e+00,0.0919
-1.323e+00,0.1183
-1.322e+00,0.0791
-1.320e+00,0.0503
-1.318e+00,0.0487
-1.317e+00,0.0527
-1.315e+00,0.0855
-1.314e+00,0.0887
-1.312e+00,0.0607
-1.310e+00,0.0503
-1.309e+00,0.0479
-1.307e+00,0.0591
-1.306e+00,0.0743
-1.304e+00,0.0799
-1.302e+00,0.0623
-1.301e+00,0.0527
-1.299e+00,0.0479
-1.298e+00,0.0479
-1.296e+00,0.0495
-1.294e+00,0.0551
-1.293e+00,0.0599
-1.291e+00,0.0567
-1.290e+00,0.0503
-1.288e+00,0.0519
-1.286e+00,0.0479
-1.285e+00,0.0663
-1.283e+00,0.0935
-1.282e+00,0.0711
-1.280e+00,0.0495
-1.278e+00,0.0503
-1.277e+00,0.0503
-1.275e+00,0.0823
-1.274e+00,0.0895
-1.272e+00,0.0599
-1.270e+00,0.0535
-1.269e+00,0.0503
-1.267e+00,0.0543
-1.266e+00,0.0655
-1.264e+00,0.0695
-1.262e+00,0.0551
-1.261e+00,0.0495
-1.259e+00,0.0471
-1.258e+00,0.0487
-1.256e+00,0.0535
-1.254e+00,0.0631
-1.253e+00,0.0695
-1.251e+00,0.0623
-1.250e+00,0.0495
-1.248e+00,0.0479
-1.246e+00,0.0479
-1.245e+00,0.0679
-1.243e+00,0.0839
-1.242e+00,0.0639
-1.240e+00,0.0479
-1.238e+00,0.0471
-1.237e+00,0.0503
-1.235e+00,0.0791
-1.234e+00,0.0911
-1.232e+00,0.0639
-1.230e+00,0.0511
-1.229e+00,0.0487
-1.227e+00,0.0519
